FROM_CODE,TO_CODE,DISTANCE,DURATION
0,0,0,0
0,1,3591,597
0,5,8227,983
0,2,7917,958
0,3,10952,1048
0,4,12530,1293
0,6,5317,699
0,7,4769,618
0,8,6373,1004
0,9,2595,323
0,10,3881,589
1,0,2482,477
1,1,0,0
1,5,8108,1062
1,2,7149,866
1,3,9789,921
1,4,11367,1166
1,6,8753,1099
1,7,6735,957
1,8,3813,758
1,9,4056,555
1,10,1744,337
5,0,8987,1260
5,1,8274,1152
5,5,0,0
5,2,10896,1293
5,3,15525,1247
5,4,20235,1735
5,6,4214,643
5,7,4813,610
5,8,8593,910
5,9,5886,732
5,10,6757,902
2,0,6099,685
2,1,5224,537
2,5,10067,1109
2,2,0,0
2,3,7076,598
2,4,8654,843
2,6,9942,1150
2,7,8694,1004
2,8,5267,719
2,9,8542,872
2,10,6014,582
3,0,10742,1120
3,1,9867,972
3,5,16880,1657
3,2,5745,597
3,3,0,0
3,4,7034,948
3,6,15605,1704
3,7,14356,1557
3,8,10930,1272
3,9,13185,1307
3,10,10658,1016
4,0,11811,1283
4,1,10936,1135
4,5,16823,1744
4,2,6814,759
4,3,7115,800
4,4,0,0
4,6,16698,1785
4,7,15450,1639
4,8,12024,1354
4,9,14254,1470
4,10,11727,1179
6,0,6387,996
6,1,9085,1174
6,5,4485,762
6,2,11385,1371
6,3,15813,1578
6,4,17390,1823
6,6,0,0
6,7,2105,364
6,8,8005,1127
6,9,5041,615
6,10,7569,924
7,0,6366,1024
7,1,6887,981
7,5,5007,616
7,2,9509,1121
7,3,13937,1328
7,4,15515,1573
7,6,1701,374
7,7,0,0
7,8,6130,877
7,9,4500,560
7,10,5371,731
8,0,5167,776
8,1,3870,589
8,5,7320,829
8,2,6100,753
8,3,10528,961
8,4,12106,1205
8,6,7196,871
8,7,5947,724
8,8,0,0
8,9,4528,614
8,10,2387,336
9,0,3060,556
9,1,4044,559
9,5,6248,734
9,2,8260,979
9,3,12869,1224
9,4,14447,1469
9,6,4697,544
9,7,3814,504
9,8,5018,724
9,9,0,0
9,10,2527,309
10,0,2780,439
10,1,1636,294
10,5,6580,799
10,2,5399,716
10,3,10342,916
10,4,11920,1160
10,6,7225,835
10,7,5207,693
10,8,2491,415
10,9,2528,291
10,10,0,0
